objectid,filename,title,card-type,illustrator,type,format,language
onr001,netrunner_aardvark.jpg,Aardvark,Upgrade;,Fellwalker & Tolen,Image;StillImage,image/jpeg,en
onr002,netrunner_access_through_alpha.jpg,Access through Alpha,Resource;Base Link,Mark Collen,Image;StillImage,image/jpeg,en
onr003,netrunner_access_to_arasaka.jpg,Access to Arasaka,Resource;Base Link,Robert McLees,Image;StillImage,image/jpeg,en
onr004,netrunner_access_to_kiribati.jpg,Access to Kiribati,Resource;Base Link,Sue Ann Harkey,Image;StillImage,image/jpeg,en
onr005,netrunner_accounts_receivable.jpg,Accounts Receivable,Operation;Transactions,Zak Plucinski,Image;StillImage,image/jpeg,en
onr006,netrunner_acme_savings_and_loan.jpg,ACME Savings and Loan,Node;Transactions,Ramon Mascarenas,Image;StillImage,image/jpeg,en
onr007,netrunner_afreet.jpg,Afreet,Program;Daemon,Mike Kimble,Image;StillImage,image/jpeg,en
onr008,netrunner_ai_board_member.jpg,AI Board Member,Agenda;Research;AI;Random,Moebius,Image;StillImage,image/jpeg,en
onr009,netrunner_ai_boon.jpg,AI Boon,Program;Icebreaker;Random,Higgins & King,Image;StillImage,image/jpeg,en
onr010,netrunner_ai_chief_financial_officer.jpg,AI Chief Financial Officer,Agenda;Asset,Pete Venters,Image;StillImage,image/jpeg,en
onr011,netrunner_airport_locker.jpg,Airport Locker,Resource;Hidden,Zak Plucinski,Image;StillImage,image/jpeg,en
onr012,netrunner_all-hands.jpg,All-Hands,Prep,,Image;StillImage,image/jpeg,en
onr013,netrunner_all-nighter.jpg,All-Nighter,Prep,,Image;StillImage,image/jpeg,en
onr014,netrunner_annual_reviews.jpg,Annual Reviews,Operation,,Image;StillImage,image/jpeg,en
onr015,netrunner_anonymous_tip.jpg,Anonymous Tip,Prep;Sabotage,,Image;StillImage,image/jpeg,en
onr016,netrunner_antiquated_interface_routines.jpg,Antiquated Interface Routines,Upgrade,,Image;StillImage,image/jpeg,en
onr017,netrunner_arasaka_owns_you.jpg,Arasaka Owns You,Prep,,Image;StillImage,image/jpeg,en
onr018,netrunner_arasaka_portable_prototype.jpg,Arasaka Portable Prototype,Hardware;Deck,,Image;StillImage,image/jpeg,en
onr019,netrunner_armadillo_armored_road_home.jpg,"Armadillo" Armored Road Home,Hardware;Vehicle,,Image;StillImage,image/jpeg,en
onr020,netrunner_armageddon.jpg,Armageddon,Program;Virus;Random,,Image;StillImage,image/jpeg,en
onr021,netrunner_armored_fridge.jpg,Armored Fridge,Hardware,,Image;StillImage,image/jpeg,en
onr022,netrunner_artemis_2020.jpg,Artemis 2020,Hardware;Deck,,Image;StillImage,image/jpeg,en
onr023,netrunner_artificial_security_directors.jpg,Artificial Security Directors,Agenda;Research,,Image;StillImage,image/jpeg,en
onr024,netrunner_asp.jpg,Asp,Ice;Sentry;Flatline,,Image;StillImage,image/jpeg,en
onr025,netrunner_audit_of_call_records.jpg,Audit of Call Records,Operation,,Image;StillImage,image/jpeg,en
onr026,netrunner_aujourdoui.jpg,Aujourd'Oui,Resource;BBS,,Image;StillImage,image/jpeg,en
onr027,netrunner_back_door_to_hilliard.jpg,Back Door to Hilliard,Resource;Base Link,,Image;StillImage,image/jpeg,en
onr028,netrunner_back_door_to_netwatch.jpg,Back Door to Netwatch,Resource;Hidden;Base Link,,Image;StillImage,image/jpeg,en
onr029,netrunner_back_door_to_orbital_air.jpg,Back Door to Orbital Air,Resource;Base Link,,Image;StillImage,image/jpeg,en
onr030,netrunner_back_door_to_rivals.jpg,Back Door to Rivals,Resource;Base Link,,Image;StillImage,image/jpeg,en
onr031,netrunner_badtimes.jpg,Badtimes,Operation;Virus,,Image;StillImage,image/jpeg,en
onr032,netrunner_baedekers_net_map.jpg,Baedekers Net Map,Program;Base Link,,Image;StillImage,image/jpeg,en
onr033,netrunner_bakdoor.jpg,Bakdoor,Program;Base Link,,Image;StillImage,image/jpeg,en
onr034,netrunner_ball_and_chain.jpg,Ball and Chain,Ice;Code Gate,,Image;StillImage,image/jpeg,en
onr035,netrunner_banpei.jpg,Banpei,Ice;Sentry;Killer,,Image;StillImage,image/jpeg,en
onr036,netrunner_bargain_with_viacox.jpg,Bargain with Viacox,Resource;Random,,Image;StillImage,image/jpeg,en
onr037,netrunner_bartmoss_memorial_icebreaker.jpg,Bartmoss Memorial Icebreaker,Program;Icebreaker;Random,,Image;StillImage,image/jpeg,en
onr038,netrunner_baskerville.jpg,Baskerville,Ice;Sentry;AP;Hellhound;Sleepy,,Image;StillImage,image/jpeg,en
onr039,netrunner_bbs_whispering_campaign.jpg,BBS Whispering Campaign,Node;Advertisement,,Image;StillImage,image/jpeg,en
onr040,netrunner_bel-digmo_antibody.jpg,Bel-Digmo Antibody,Node;Ambush;Virus,,Image;StillImage,image/jpeg,en
onr041,netrunner_big_frackin_gun.jpg,Big Frackin' Gun,Program;Icebreaker;Killer,,Image;StillImage,image/jpeg,en
onr042,netrunner_bioweapons_engineering.jpg,Bioweapons Engineering,Agenda;Research,,Image;StillImage,image/jpeg,en
onr043,netrunner_bizarre_encryption_scheme.jpg,Bizarre Encryption Scheme,Upgrade,,Image;StillImage,image/jpeg,en
onr044,netrunner_black_dahlia.jpg,Black Dahlia,Program;Icebreaker;Killer,,Image;StillImage,image/jpeg,en
onr045,netrunner_black_ice_quality_assurance.jpg,Black Ice Quality Assurance,Agenda;Research;Black Ops,,Image;StillImage,image/jpeg,en
onr046,netrunner_black_widow.jpg,Black Widow,Program;Icebreaker;Killer,,Image;StillImage,image/jpeg,en
onr047,netrunner_blackmail.jpg,Blackmail,Prep,,Image;StillImage,image/jpeg,en
onr048,netrunner_blink.jpg,Blink,Program;Icebreaker;Random,,Image;StillImage,image/jpeg,en
onr049,netrunner_blood_cat.jpg,Blood Cat,Node;AI,,Image;StillImage,image/jpeg,en
onr050,netrunner_boardwalk.jpg,Boardwalk,Program;Virus,,Image;StillImage,image/jpeg,en
onr051,netrunner_bodyweight_data_creche.jpg,Bodyweight™ Data Creche,Hardware;Deck,,Image;StillImage,image/jpeg,en
onr052,netrunner_bodyweight_synthetic_blood.jpg,Bodyweight™ Synthetic Blood,Prep,,Image;StillImage,image/jpeg,en
onr053,netrunner_bolter_cluster.jpg,Bolter Cluster,Ice;Sentry;AP;Hellbolt,,Image;StillImage,image/jpeg,en
onr054,netrunner_bolter_swarm.jpg,Bolter Swarm,Ice;Sentry;AP;Hellbolt;Sleepy,,Image;StillImage,image/jpeg,en
onr055,netrunner_bolt-hole.jpg,Bolt-Hole,Resource;Hidden,,Image;StillImage,image/jpeg,en
onr056,netrunner_boostergang_connections.jpg,Boostergang Connections,Prep,,Image;StillImage,image/jpeg,en
onr057,netrunner_boring_bit.jpg,Boring Bit,Program;Icebreaker;Worm,,Image;StillImage,image/jpeg,en
onr058,netrunner_brain_drain.jpg,Brain Drain,Ice;Sentry;Black Ice;AP,,Image;StillImage,image/jpeg,en
onr059,netrunner_brain_wash.jpg,Brain Wash,Ice;Sentry;Black Ice;AP;Brainwipe,,Image;StillImage,image/jpeg,en
onr060,netrunner_braindance_campaign.jpg,Braindance Campaign,Node;Advertisement;Gray Ops,,Image;StillImage,image/jpeg,en
onr061,netrunner_broker.jpg,Broker,Resource;Connection,,Image;StillImage,image/jpeg,en
onr062,netrunner_bug_zapper.jpg,Bug Zapper,Ice;Sentry;AP;Hellbolt,,Image;StillImage,image/jpeg,en
onr063,netrunner_bulldozer.jpg,Bulldozer,Program;Icebreaker;Noisy,,Image;StillImage,image/jpeg,en
onr064,netrunner_butcher_boy.jpg,Butcher Boy,Program;Virus,,Image;StillImage,image/jpeg,en
onr065,netrunner_canis_major.jpg,Canis Major,Ice;Sentry;Watchdog,,Image;StillImage,image/jpeg,en
onr066,netrunner_canis_minor.jpg,Canis Minor,Ice;Sentry;Watchdog,,Image;StillImage,image/jpeg,en
onr067,netrunner_caryatid.jpg,Caryatid,Ice;Wall,,Image;StillImage,image/jpeg,en
onr068,netrunner_cascade.jpg,Cascade,Program;Virus,,Image;StillImage,image/jpeg,en
onr069,netrunner_cerberus.jpg,cerberus,,,Image;StillImage,image/jpeg,en
onr070,netrunner_chance_observation.jpg,chance observation,,,Image;StillImage,image/jpeg,en
onr071,netrunner_charity_takeover.jpg,charity takeover,,,Image;StillImage,image/jpeg,en
onr072,netrunner_chester_mix.jpg,chester mix,,,Image;StillImage,image/jpeg,en
onr073,netrunner_chiba_bank_account.jpg,chiba bank account,,,Image;StillImage,image/jpeg,en
onr074,netrunner_chicago_branch.jpg,chicago branch,,,Image;StillImage,image/jpeg,en
onr075,netrunner_chihuahua.jpg,chihuahua,,,Image;StillImage,image/jpeg,en
onr076,netrunner_chimera.jpg,chimera,,,Image;StillImage,image/jpeg,en
onr077,netrunner_cinderella.jpg,cinderella,,,Image;StillImage,image/jpeg,en
onr078,netrunner_city_surveillance.jpg,city surveillance,,,Image;StillImage,image/jpeg,en
onr079,netrunner_cloak.jpg,cloak,,,Image;StillImage,image/jpeg,en
onr080,netrunner_closed_accounts.jpg,closed accounts,,,Image;StillImage,image/jpeg,en
onr081,netrunner_clown.jpg,clown,,,Image;StillImage,image/jpeg,en
onr082,netrunner_cockroach.jpg,cockroach,,,Image;StillImage,image/jpeg,en
onr083,netrunner_code_corpse.jpg,code corpse,,,Image;StillImage,image/jpeg,en
onr084,netrunner_code_viral_cache.jpg,code viral cache,,,Image;StillImage,image/jpeg,en
onr085,netrunner_codecracker.jpg,codecracker,,,Image;StillImage,image/jpeg,en
onr086,netrunner_codeslinger.jpg,codeslinger,,,Image;StillImage,image/jpeg,en
onr087,netrunner_colonel_failure.jpg,colonel failure,,,Image;StillImage,image/jpeg,en
onr088,netrunner_core_command_jettison_ice.jpg,core command jettison ice,,,Image;StillImage,image/jpeg,en
onr089,netrunner_corolla_speed_chip.jpg,corolla speed chip,,,Image;StillImage,image/jpeg,en
onr090,netrunner_corporate_ally.jpg,corporate ally,,,Image;StillImage,image/jpeg,en
onr091,netrunner_corporate_boon.jpg,corporate boon,,,Image;StillImage,image/jpeg,en
onr092,netrunner_corporate_coup.jpg,corporate coup,,,Image;StillImage,image/jpeg,en
onr093,netrunner_corporate_detective_agency.jpg,corporate detective agency,,,Image;StillImage,image/jpeg,en
onr094,netrunner_corporate_downsizing.jpg,corporate downsizing,,,Image;StillImage,image/jpeg,en
onr095,netrunner_corporate_guard_temps.jpg,corporate guard temps,,,Image;StillImage,image/jpeg,en
onr096,netrunner_corporate_headhunters.jpg,corporate headhunters,,,Image;StillImage,image/jpeg,en
onr097,netrunner_corporate_negotiating_center.jpg,corporate negotiating center,,,Image;StillImage,image/jpeg,en
onr098,netrunner_corporate_retreat.jpg,corporate retreat,,,Image;StillImage,image/jpeg,en
onr099,netrunner_corporate_shuffle.jpg,corporate shuffle,,,Image;StillImage,image/jpeg,en
onr100,netrunner_corporate_war.jpg,corporate war,,,Image;StillImage,image/jpeg,en
onr101,netrunner_corprunners_shattered_remains.jpg,corprunners shattered remains,,,Image;StillImage,image/jpeg,en
onr102,netrunner_corrosion.jpg,corrosion,,,Image;StillImage,image/jpeg,en
onr103,netrunner_corruption.jpg,corruption,,,Image;StillImage,image/jpeg,en
onr104,netrunner_cortical_cybermodem.jpg,cortical cybermodem,,,Image;StillImage,image/jpeg,en
onr105,netrunner_cortical_scanner.jpg,cortical scanner,,,Image;StillImage,image/jpeg,en
onr106,netrunner_cortical_scrub.jpg,cortical scrub,,,Image;StillImage,image/jpeg,en
onr107,netrunner_cortical_stimulators.jpg,cortical stimulators,,,Image;StillImage,image/jpeg,en
onr108,netrunner_cowboy_sysop.jpg,cowboy sysop,,,Image;StillImage,image/jpeg,en
onr109,netrunner_coyote.jpg,coyote,,,Image;StillImage,image/jpeg,en
onr110,netrunner_crash_everett_inventive_fixer.jpg,crash everett inventive fixer,,,Image;StillImage,image/jpeg,en
onr111,netrunner_crash_space.jpg,crash space,,,Image;StillImage,image/jpeg,en
onr112,netrunner_credit_blocks.jpg,credit blocks,,,Image;StillImage,image/jpeg,en
onr113,netrunner_credit_consolidation.jpg,credit consolidation,,,Image;StillImage,image/jpeg,en
onr114,netrunner_credit_subversion.jpg,credit subversion,,,Image;StillImage,image/jpeg,en
onr115,netrunner_cruising_for_netwatch.jpg,cruising for netwatch,,,Image;StillImage,image/jpeg,en
onr116,netrunner_crumble.jpg,crumble,,,Image;StillImage,image/jpeg,en
onr117,netrunner_crybaby.jpg,crybaby,,,Image;StillImage,image/jpeg,en
onr118,netrunner_crystal_palace_station_grid.jpg,crystal palace station grid,,,Image;StillImage,image/jpeg,en
onr119,netrunner_crystal_wall.jpg,crystal wall,,,Image;StillImage,image/jpeg,en
onr120,netrunner_custodial_position.jpg,custodial position,,,Image;StillImage,image/jpeg,en
onr121,netrunner_cybertech_think_tank.jpg,cybertech think tank,,,Image;StillImage,image/jpeg,en
onr122,netrunner_cyfermaster.jpg,cyfermaster,,,Image;StillImage,image/jpeg,en
onr123,netrunner_d_arc_knight.jpg,d arc knight,,,Image;StillImage,image/jpeg,en
onr124,netrunner_danshis_second_id.jpg,danshis second id,,,Image;StillImage,image/jpeg,en
onr125,netrunner_data_darts.jpg,data darts,,,Image;StillImage,image/jpeg,en
onr126,netrunner_data_fort_reclamation.jpg,data fort reclamation,,,Image;StillImage,image/jpeg,en
onr127,netrunner_data_fort_remapping.jpg,data fort remapping,,,Image;StillImage,image/jpeg,en
onr128,netrunner_data_masons.jpg,data masons,,,Image;StillImage,image/jpeg,en
onr129,netrunner_data_naga.jpg,data naga,,,Image;StillImage,image/jpeg,en
onr130,netrunner_data_raven.jpg,data raven,,,Image;StillImage,image/jpeg,en
onr131,netrunner_data_sifters.jpg,data sifters,,,Image;StillImage,image/jpeg,en
onr132,netrunner_data_wall.jpg,data wall,,,Image;StillImage,image/jpeg,en
onr133,netrunner_data_wall_20.jpg,data wall 20,,,Image;StillImage,image/jpeg,en
onr134,netrunner_databroker.jpg,databroker,,,Image;StillImage,image/jpeg,en
onr135,netrunner_datacomb.jpg,datacomb,,,Image;StillImage,image/jpeg,en
onr136,netrunner_datapool_by_zetatech.jpg,datapool by zetatech,,,Image;StillImage,image/jpeg,en
onr137,netrunner_day_shift.jpg,day shift,,,Image;StillImage,image/jpeg,en
onr138,netrunner_deadeye.jpg,deadeye,,,Image;StillImage,image/jpeg,en
onr139,netrunner_deal_with_militech.jpg,deal with militech,,,Image;StillImage,image/jpeg,en
onr140,netrunner_death_from_above.jpg,death from above,,,Image;StillImage,image/jpeg,en
onr141,netrunner_death_yo-yo.jpg,death yo-yo,,,Image;StillImage,image/jpeg,en
onr142,netrunner_decoy_signal.jpg,decoy signal,,,Image;StillImage,image/jpeg,en
onr143,netrunner_dedicated_response_team.jpg,dedicated response team,,,Image;StillImage,image/jpeg,en
onr144,netrunner_deep_thought.jpg,deep thought,,,Image;StillImage,image/jpeg,en
onr145,netrunner_demolition_run.jpg,demolition run,,,Image;StillImage,image/jpeg,en
onr146,netrunner_department_of_misinformation.jpg,department of misinformation,,,Image;StillImage,image/jpeg,en
onr147,netrunner_department_of_truth_enhancement.jpg,department of truth enhancement,,,Image;StillImage,image/jpeg,en
onr148,netrunner_dermatech_bodyplating.jpg,dermatech bodyplating,,,Image;StillImage,image/jpeg,en
onr149,netrunner_desperate_competitor.jpg,desperate competitor,,,Image;StillImage,image/jpeg,en
onr150,netrunner_detroit_police_contract.jpg,detroit police contract,,,Image;StillImage,image/jpeg,en
onr151,netrunner_dieter_esslin.jpg,dieter esslin,,,Image;StillImage,image/jpeg,en
onr152,netrunner_digiconda.jpg,digiconda,,,Image;StillImage,image/jpeg,en
onr153,netrunner_diplomatic_immunity.jpg,diplomatic immunity,,,Image;StillImage,image/jpeg,en
onr154,netrunner_disgruntled_ice_technician.jpg,disgruntled ice technician,,,Image;StillImage,image/jpeg,en
onr155,netrunner_disinfectant_inc.jpg,disinfectant inc,,,Image;StillImage,image/jpeg,en
onr156,netrunner_disintegrator.jpg,disintegrator,,,Image;StillImage,image/jpeg,en
onr157,netrunner_do_the_drine (2).jpg,do the drine (2),,,Image;StillImage,image/jpeg,en
onr158,netrunner_do_the_drine.jpg,do the drine,,,Image;StillImage,image/jpeg,en
onr159,netrunner_dog_pile.jpg,dog pile,,,Image;StillImage,image/jpeg,en
onr160,netrunner_dogcatcher.jpg,dogcatcher,,,Image;StillImage,image/jpeg,en
onr161,netrunner_doppelganger_antibody.jpg,doppelganger antibody,,,Image;StillImage,image/jpeg,en
onr162,netrunner_dr_dreff.jpg,dr dreff,,,Image;StillImage,image/jpeg,en
onr163,netrunner_drifter_mobile_environment.jpg,drifter mobile environment,,,Image;StillImage,image/jpeg,en
onr164,netrunner_drone_for_a_day.jpg,drone for a day,,,Image;StillImage,image/jpeg,en
onr165,netrunner_dropp.jpg,dropp,,,Image;StillImage,image/jpeg,en
onr166,netrunner_dumpster.jpg,dumpster,,,Image;StillImage,image/jpeg,en
onr167,netrunner_dupre.jpg,dupre,,,Image;StillImage,image/jpeg,en
onr168,netrunner_dwarf.jpg,dwarf,,,Image;StillImage,image/jpeg,en
onr169,netrunner_early_worm.jpg,early worm,,,Image;StillImage,image/jpeg,en
onr170,netrunner_edgerunner_inc_temps.jpg,edgerunner inc temps,,,Image;StillImage,image/jpeg,en
onr171,netrunner_edited_shipping_manifests.jpg,edited shipping manifests,,,Image;StillImage,image/jpeg,en
onr172,netrunner_efficiency_experts.jpg,efficiency experts,,,Image;StillImage,image/jpeg,en
onr173,netrunner_elena_laskova.jpg,elena laskova,,,Image;StillImage,image/jpeg,en
onr174,netrunner_emergency_rig.jpg,emergency rig,,,Image;StillImage,image/jpeg,en
onr175,netrunner_emergency_self-construct.jpg,emergency self-construct,,,Image;StillImage,image/jpeg,en
onr176,netrunner_employee_empowerment.jpg,employee empowerment,,,Image;StillImage,image/jpeg,en
onr177,netrunner_encoder_inc.jpg,encoder inc,,,Image;StillImage,image/jpeg,en
onr178,netrunner_encryption_breakthrough.jpg,encryption breakthrough,,,Image;StillImage,image/jpeg,en
onr179,netrunner_endless_corridor.jpg,endless corridor,,,Image;StillImage,image/jpeg,en
onr180,netrunner_enterprise_inc_shields.jpg,enterprise inc shields,,,Image;StillImage,image/jpeg,en
onr181,netrunner_entrapment.jpg,entrapment,,,Image;StillImage,image/jpeg,en
onr182,netrunner_esa_contract.jpg,esa contract,,,Image;StillImage,image/jpeg,en
onr183,netrunner_eurocorpse_spin_chip.jpg,eurocorpse spin chip,,,Image;StillImage,image/jpeg,en
onr184,netrunner_euromarket_consortium.jpg,euromarket consortium,,,Image;StillImage,image/jpeg,en
